"","plantID","level","block","trmtUHURU","year","BA","height","woodystems","fruits","binfruits","fruitsnext6mo","binfruitsnext6mo","binsurnext6mo","BM","BMnext6mo","sclass1","sclass2","season","timepoint"
"85",94,"N",2,"MESO","11",96.58826613,97.8,6,0,0,0,0,1,21.2391365606272,27.3000579644936,"3","3","W","0"
"86",101,"N",3,"CONT","11",6.605198554,11.5,2,0,0,NA,NA,0,4.2445398701737,NA,"1","1","W","0"
"87",102,"N",3,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"88",103,"N",3,"CONT","11",6.157521601,1.8,2,0,0,NA,NA,NA,2.23236213072041,NA,"1","1","W","0"
"89",104,"N",3,"CONT","11",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"1","1","W","0"
"90",105,"N",3,"CONT","11",4.523893421,49.6,1,0,0,NA,NA,0,6.0936364372634,NA,"1","1","W","0"
"91",106,"N",3,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"92",107,"N",3,"CONT","11",3.801327111,26,1,0,0,NA,NA,NA,4.63444613912019,NA,"1","1","W","0"
"93",108,"N",3,"CONT","11",2.83528737,32.6,1,0,0,NA,NA,NA,4.53194753018967,NA,"1","1","W","0"
"94",109,"N",3,"CONT","11",0.070685835,1.6,NA,0,0,NA,NA,NA,0.483054587993115,NA,"1","1","W","0"
"95",110,"N",3,"CONT","11",13.20254313,17.1,1,0,0,NA,NA,NA,6.10610777004731,NA,"1","1","W","0"
"96",111,"N",3,"CONT","11",3.141592654,15.3,1,0,0,NA,NA,NA,3.64318060281188,NA,"1","1","W","0"
"97",112,"N",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"98",113,"N",3,"LMH","11",0.282743339,4.2,NA,0,0,NA,NA,NA,1.05905626304821,NA,"1","1","W","0"
"99",114,"N",3,"MEGA","11",8.529424054,10.6,3,0,0,NA,NA,0,4.49866402350268,NA,"1","1","W","0"
"100",115,"N",3,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"1","1","W","0"
"101",116,"N",3,"MESO","11",0.3848451,3.6,NA,0,0,0,0,1,1.11498529099353,2.99187144982013,"1","1","W","0"
"102",117,"N",3,"MESO","11",2.269800692,28.6,1,0,0,0,0,1,4.02765374103346,7.00289311677514,"1","1","W","0"
"103",118,"N",3,"MESO","11",2.269800692,14.2,0,0,0,NA,NA,NA,3.18813098029455,NA,"1","1","W","0"
"104",119,"N",3,"MESO","11",40.71504079,119.6,1,2,1,0,0,1,17.024046391861,18.8222405058235,"2","3","W","0"
"105",120,"S",1,"CONT","11",2.83528737,28.1,1,0,0,0,0,1,4.31268620462646,9.5664185701251,"1","2","W","0"
"106",121,"S",1,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"107",122,"S",1,"CONT","11",NA,34.2,NA,0,0,0,0,1,NA,8.06083096217836,"1","1","W","0"
"108",123,"S",1,"CONT","11",43.00840343,39.1,2,0,0,0,0,1,11.9373002021366,19.6916159824235,"2","3","W","0"
"109",124,"S",1,"CONT","11",34.43185548,39.3,3,0,0,0,0,1,11.101928699347,10.0107491479728,"2","2","W","0"
"110",125,"S",1,"CONT","11",2.010619298,15.6,1,0,0,0,0,1,3.15929020278631,5.52416159753162,"1","1","W","0"
"111",126,"S",1,"CONT","11",9.621127502,37.6,2,0,0,0,0,1,7.14699341644915,9.14121720348983,"1","2","W","0"
"112",127,"S",1,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"113",128,"S",1,"LMH","11",63.61725124,334,1,NA,NA,NA,NA,1,27.8401163283414,36.0496725792042,"3","3","W","0"
"114",129,"S",1,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"115",130,"S",1,"LMH","11",0.502654825,1.6,NA,0,0,NA,NA,NA,0.929853459242279,NA,"1","1","W","0"
"116",131,"S",1,"MEGA","11",72.38229474,187.4,1,5,1,0,0,1,23.9661032933996,20.9719938771258,"3","3","W","0"
"117",132,"S",1,"MEGA","11",0.282743339,2.6,NA,0,0,NA,NA,NA,0.902373555155887,NA,"1","1","W","0"
"118",143,"S",2,"CONT","11",16.61902514,99.8,2,1,1,NA,NA,0,11.8824235465765,15.359191677424,"2","2","W","0"
"119",144,"S",2,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"120",145,"S",2,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"121",146,"S",2,"CONT","11",2.83528737,37.4,1,0,0,NA,NA,NA,4.74460748979364,NA,"1","1","W","0"
"122",147,"S",2,"CONT","11",2.544690049,31.4,1,0,0,NA,NA,NA,4.31686918621284,NA,"1","1","W","0"
"123",148,"S",2,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"124",149,"S",2,"LMH","11",0.282743339,0.9,NA,0,0,NA,NA,1,0.633245222394224,NA,"1","1","W","0"
"125",150,"S",2,"LMH","11",0.502654825,2.3,NA,0,0,NA,NA,1,1.04961904875058,NA,"1","1","W","0"
"126",151,"S",2,"LMH","11",0.282743339,1.7,NA,0,0,NA,NA,NA,0.783038473544246,NA,"1","1","W","0"
"127",152,"S",2,"MEGA","11",0.3848451,1.7,NA,0,0,0,0,1,0.867927225494685,1.56432815048579,"1","1","W","0"
"128",153,"S",2,"MEGA","11",0.196349541,5.6,NA,0,0,0,0,1,1.03219215093462,1.79720879011872,"1","1","W","0"
"129",154,"S",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"130",155,"S",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"131",156,"S",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"132",157,"S",2,"MEGA","11",2.269800692,52.6,1,0,0,0,0,1,4.93622673650039,9.49990849147009,"1","2","W","0"
"133",158,"S",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"134",159,"S",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"135",160,"S",2,"MEGA","11",35.25652355,182.4,2,2,1,0,0,1,18.6803269674191,19.3278183018577,"3","3","W","0"
"136",161,"S",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,1,NA,10.6966136649317,"1","2","W","0"
"137",162,"S",2,"MEGA","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"138",163,"S",2,"MEGA","11",18.09557368,14.5,6,0,0,0,0,1,6.42037412590845,5.46676627162099,"1","1","W","0"
"139",164,"S",2,"MEGA","11",6.157521601,59.2,1,0,0,NA,NA,NA,7.16522284890573,NA,"1","1","W","0"
"140",165,"S",2,"MESO","11",3.801327111,30.6,1,0,0,0,0,1,4.89347079052436,8.68136343234769,"1","1","W","0"
"141",166,"S",2,"MESO","11",25.14844919,31.6,6,0,0,NA,NA,0,9.29453611782043,10.0402037987761,"2","2","W","0"
"142",167,"S",2,"MESO","11",4.523893421,16.2,3,0,0,0,0,1,4.1940842722731,6.34363758181029,"1","1","W","0"
"143",168,"S",2,"MESO","11",98.52034562,270,1,20,1,0,0,1,30.0084879797838,34.7015431395404,"3","3","W","0"
"144",187,"S",3,"CONT","11",46.56625711,79,4,25,1,NA,NA,NA,15.5025856583924,NA,"2","1","W","0"
"145",188,"S",3,"CONT","11",NA,NA,NA,NA,NA,0,0,NA,NA,5.97285669004178,"1","1","W","0"
"146",189,"S",3,"CONT","11",2.544690049,30.9,1,0,0,NA,NA,0,4.29379763221674,NA,"1","1","W","0"
"147",190,"S",3,"CONT","11",22.06183441,50.8,3,6,1,NA,NA,1,10.4249431653339,NA,"2","1","W","0"
"148",191,"S",3,"CONT","11",33.1830724,39.6,3,5,1,NA,NA,0,10.993723263202,NA,"2","1","W","0"
"149",192,"S",3,"CONT","11",1.767145868,3.9,NA,0,0,0,0,1,1.90492465865774,2.52140589697634,"1","1","W","0"
"150",193,"S",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"151",194,"S",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"152",195,"S",3,"LMH","11",0.3848451,2.8,NA,0,0,NA,NA,NA,1.02525380091301,NA,"1","1","W","0"
"153",196,"S",3,"LMH","11",11.34114948,47.4,4,4,1,1,1,1,8.15741556459103,9.40031609303588,"1","2","W","0"
"154",197,"S",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"155",198,"S",3,"LMH","11",41.41404516,134.2,1,19,1,0,0,1,17.7922317755073,22.6419852322686,"3","3","W","0"
"156",199,"S",3,"LMH","11",19.63495408,43.1,2,3,1,0,0,1,9.49171637368689,10.3270098659528,"2","2","W","0"
"157",200,"S",3,"LMH","11",10.75210086,41.2,1,0,0,0,0,1,7.64705665899063,7.51829323662429,"1","1","W","0"
"158",201,"S",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"159",202,"S",3,"LMH","11",0.125663706,1.7,NA,0,0,NA,NA,NA,0.597320458448351,NA,"1","1","W","0"
"160",203,"S",3,"LMH","11",15.20530844,160.5,1,6,1,0,0,1,13.5177025255507,NA,"2","1","W","0"
"161",204,"S",3,"LMH","11",18.09557368,101.1,2,8,1,3,1,1,12.2778631829733,13.5956150804769,"2","2","W","0"
"162",205,"S",3,"LMH","11",11.94590607,29.1,2,1,1,0,0,1,7.05256699056701,6.48028252917732,"1","1","W","0"
"163",206,"S",3,"LMH","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"164",207,"S",3,"MEGA","11",0.282743339,4.9,NA,0,0,NA,NA,NA,1.11498529128908,NA,"1","1","W","0"
"165",208,"S",3,"MEGA","11",0.502654825,5.2,NA,0,0,NA,NA,NA,1.37818067810781,NA,"1","1","W","0"
"166",209,"S",3,"MEGA","11",0.125663706,2.8,NA,0,0,NA,NA,NA,0.705594953584067,NA,"1","1","W","0"
